 ( 0.39574246391875789     , 8.64960397500169620E-004)
 (-0.90652933839871963     ,-0.56079140866837207     )
 ( 0.15871169653595274     , 0.21284717288772725     )
 (-0.30618670234466805     , 0.78405856164851429     )
 ( 0.64423034630041087     , 0.79674950850851900     )
 ( 0.73810686687172478     ,-0.95109840007581425     )
 ( 0.91723186454290584     ,-6.03589143860929767E-002)
 ( 0.92060505330109521     , 0.10425240137112013     )
 (-0.14905934429979339     , 1.49099742640643740E-002)
 ( 0.66288965660262278     ,-0.93160890994591483     )
 (-0.62394565073751806     , 0.92425526940478875     )
 ( 0.50121215842786881     ,-6.07662952676335522E-002)
 ( 0.27571670379980873     ,-5.70299596252610286E-002)
 (-0.40262442894593420     , 0.78858526355178782     )
 ( 0.25344962410971306     , 0.98058175092506161     )
 ( 0.92744924709986520     ,-0.49543624707656164     )
 ( 1.72865552796892530E-002, 0.12513056051800930     )
 (-0.38616630560907339     ,-0.72110963165210507     )
 (-0.77475228918198269     , 0.57786079071802732     )
 (-0.71037616347289401     , 0.86237097361560444     )
 ( 0.71624656661557395     , 0.32603711978565997     )
 ( 3.07950874373759120E-002,-0.76606646026403524     )
 (-0.47004569163929233     , 0.88716225413150340     )
 ( 9.73945671929854484E-002,-0.44927622388048150     )
 ( 0.94751195713862302     ,-0.44474558291569366     )
 ( 0.45059727658374271     ,-0.50131622604045134     )
 ( 0.43570621630609452     , 0.78122849347419532     )
 (-0.15587843055332229     ,-0.50056625456875992     )
 ( 0.34875218234170546     , 0.24200157282887602     )
 (-0.56297268552928159     , 0.32983236224844603     )
 (-0.94240855676881807     ,-0.96110055547246276     )
 (-0.32371877781461222     ,-0.12000572671002629     )
 ( 0.48505525005676731     , 0.18246281505405904     )
 (-0.88739557192409535     ,-5.65183865708220878E-002)
 (-0.40020310918104229     ,-0.43997185946199835     )
 (-0.57204493074855378     ,-0.34545279562747311     )
 (-0.83899737987170653     ,-0.93832450293127323     )
 (-2.15192301722950674E-002, 0.64137819323467937     )
 ( 0.93298400426427719     , 0.20148234681487764     )
 (-0.57115984083075233     , 0.95595757574948692     )
 (-0.14772617179213654     ,-0.21831510022168032     )
 ( 0.53337628737155995     ,-0.19988509156178935     )
 ( 0.50323027961334077     ,-0.10048448094148199     )
 (-0.10733442615296696     ,-0.95173597227188367     )
 (-0.86016252570519924     ,-0.49265722819979629     )
 ( 0.79140122761352671     ,-0.75008773606351298     )
 (-9.51879813382348061E-002, 4.84777885440550449E-002)
 (-0.65866258813148448     , 0.48395996420696719     )
 ( 0.49072271664791600     ,-0.72918593950300448     )
 (-0.42794270933379863     , 6.17786209070274595E-002)
 (-0.96495877796375140     , 0.66052517728558513     )
 (-0.58142800800064975     , 0.19174804066721407     )
 ( 0.44030291169334390     , 0.15554378705285643     )
 ( 0.45914594932198582     , 0.50403528416472199     )
 (-0.41469298891517070     ,-0.36432725369417795     )
 (-0.40478545746655215     , 0.59559805792570586     )
 (-0.80803945944652611     , 0.51012351871775508     )
 ( 0.59874994967869810     , 0.92138034684261783     )
 ( 0.70840946920073833     , 0.52622488013621904     )
 (-0.33312185789586835     ,-0.51687416022526378     )
 (-0.13905993717802545     , 0.32218439134469889     )
 ( 2.98915085425264238E-002, 0.53185262052192428     )
 ( 3.82112932048457310E-002, 0.48430341067255966     )
 ( 0.59297517758513862     , 0.20849817263353287     )
 (-0.94986716179008823     ,-0.18786886465506569     )
 (-0.98509177676667292     ,-0.37075552106376364     )
 (-0.17642985458829941     ,-0.36411821648898268     )
 (-0.87534891529353587     ,-6.77436146635344016E-002)
 ( 0.15647575668796065     ,-0.51378094181388434     )
 ( 0.86002520941726601     , 0.42069994337497718     )
 ( 0.77445209700416484     ,-7.05790301103164097E-002)
 ( 0.81756763701005042     , 0.96763864718297299     )
 (-0.23241728225028879     , 0.31816343655844292     )
 (-9.96051740819581255E-003, 0.72142183791105907     )
 (-0.69593594665835923     ,-0.43810967263943468     )
 (-0.57607945122968118     , 0.92016856237420797     )
 ( 0.71916559942106772     ,-0.59184172866623186     )
 (-0.43552990115197332     , 0.97059934257776348     )
 (-0.81321944817310765     , 0.38964411231705043     )
 ( 0.30651365750454573     ,-0.82553486103859797     )
 ( 0.84473885764074197     , 0.39786885844267061     )
 (-0.30403492946468447     , 0.52485477261983959     )
 ( 0.23757782295646024     , 0.28631184750184246     )
 (-0.58385054830191763     , 0.39941671043094829     )
 ( 0.16003939663684008     ,-0.90034987120549914     )
 ( 0.35519357245336636     ,-7.23040880561782728E-002)
 ( 0.45462550517967060     , 0.21454824762036395     )
 (-0.47796679063058178     , 0.11004888805120316     )
 (-0.81446914907545676     ,-0.77206978963460671     )
 ( 0.31988945419654868     ,-0.15435227110743455     )
 ( 0.15262390419123761     , 0.83317590618462845     )
 (-0.21667448689991176     , 0.94160412210600697     )
 (-0.67870108045011790     , 0.80038616557924769     )
 (-0.95085042572438994     , 0.60392480246900249     )
 ( 0.95041218728245980     ,-0.23405855328741865     )
 (-0.60158459284557608     ,-0.84146204986007689     )
 ( 0.64958189320460491     , 0.70622635710667936     )
 ( 0.13752797164172392     , 0.74669328713411431     )
 (-0.93768959662398998     , 0.21279334140790951     )
 ( 0.96692396231414790     ,-0.96167548965980387     )
 (-0.74888198516286053     ,-0.88141860479306189     )
 (-0.97309560976211884     , 0.78915874430412458     )
 (-0.82140428063068072     , 0.38927710044531949     )
 ( 0.34788551405281254     , 0.13715139818042843     )
 (-0.91757118561535123     , 0.85769311973779594     )
 (-7.24568277973745012E-002,-0.67909633132808978     )
 ( 0.30645076341155431     ,-0.66566896501371531     )
 (-0.80400866032491791     ,-0.93822855554902418     )
 ( 0.67209505825118043     ,-0.50872143004159653     )
 (-0.57680396464886741     , 0.86208603747763135     )
 ( 0.27865946573918876     ,-6.85467029497388580E-002)
 ( 6.21804004585868597E-003,-0.76103350719893825     )
 ( 0.35501945415690983     ,-0.11186660474988486     )
 (-0.99146024944136713     , 0.36629771085357987     )
 (-0.77673671230483166     , 0.54289839936637208     )
 (-0.60439960846574792     ,-0.70873424508238969     )
 (-0.52539224801652296     , 0.12072665988028319     )
 (-0.16932276532882184     , 6.06901136824689047E-003)
 ( 0.12332822955666956     , 0.46124891833056125     )
 (-0.50065406620260688     , 0.99474882146579802     )
 ( 0.94373738124041751     , 4.22264949340203088E-002)
 ( 0.17986807456875198     ,-0.13080668910539117     )
 ( 0.68191050779645224     ,-0.56260441680678497     )
 (-0.24307394097090906     ,-0.58804909308367570     )
 ( 0.76632026577768642     ,-0.45691644946106891     )
 (-0.20190800199427628     ,-0.56376704707236769     )
 (-0.95675370759719414     ,-0.15135354539774681     )
 ( 1.22158682983339872E-002, 0.66007540638440076     )
 ( 0.58220395636927691     , 0.42198670150781226     )
 ( 0.84748630685364645     ,-0.79824466152400220     )
 ( 0.50712839488308958     ,-0.37462660437331152     )
 ( 0.75019256060263473     , 0.89190634260545920     )
 ( 9.09272179293196814E-003,-1.43070404756784342E-002)
 (-0.59586421162860148     ,-0.45596449634695801     )
 (-0.79062970242413400     , 0.85929153838565497     )
 (-0.55886037973878189     ,-0.56599921882742166     )
 ( 0.51610773903095009     ,-7.80789550033844648E-002)
 (-0.38386887987233109     , 0.94014901709191889     )
 (-0.17280458510337127     ,-0.92884505059209488     )
 (-0.63825843172694618     ,-0.35607120783937063     )
 (-0.22545697678291532     , 0.66918557170395587     )
 (-0.81175071579921365     ,-0.13443347469002020     )
 (-0.29567302285787633     ,-0.57966080315322444     )
 ( 0.91089154326473221     , 0.91551603626214018     )
 ( 0.89231123795453726     ,-0.56286370263871532     )
 (-0.37095299371910784     , 0.20954877414737183     )
 (-0.62350857252173597     , 0.69346902267562172     )
 (-0.66352852234681592     , 0.37823155355987836     )
 ( 0.64951102663004434     ,-0.78934560677323162     )
 (-0.28040426470054314     , 0.77982843440485539     )
 (-0.68601427726336084     ,-0.28606317701127892     )
 ( 0.93780213464824413     ,-0.79594916693884699     )
 ( 0.81348500534905810     , 0.50064518587731044     )
 (-6.34758207888594939E-002,-0.53774744019415976     )
 ( 0.78389642864461706     ,-0.13115486046735469     )
 ( 0.20689777172005819     , 5.23117411188351866E-002)
 ( 0.82267505811702080     ,-0.71584567572296720     )
 (-0.91452808744700320     ,-0.15675299459235958     )
 (-0.92950399988595933     ,-0.24540613440689896     )
 (-0.97990230384366583     ,-0.94973161313590282     )
 ( 0.58951907489173294     ,-0.49387817473627393     )
 ( 0.17449507140602094     , 0.59515163458694786     )
 (-0.12172086278648209     ,-0.50297963063776052     )
 (-0.10991552166556318     ,-0.17576449722412946     )
 ( 0.88357077313181520     , 0.69477595057826846     )
 ( 0.58040265138404123     ,-0.33333735727547520     )
 ( 0.57803960744930549     ,-0.89331176208856533     )
 ( 0.43673608833332622     , 0.46340341851202282     )
 (-0.28303825653373593     , 0.67235636856201353     )
 (-0.16556057572504557     , 0.31280582571411486     )
 (-0.95767457502021358     ,-0.71539215510546939     )
 (-0.36630327848966004     , 0.91559120612725309     )
 ( 0.36526236011010127     , 2.25435536471465525E-002)
 ( 0.87716898895930484     , 0.24105212142057297     )
 ( 0.15254777738854131     , 0.39835944510655708     )
 ( 3.59885786678191266E-002, 0.18139307480270617     )
 ( 0.11773569665111694     , 0.90565887676500978     )
 (-0.59415202776879283     , 0.64237425221221400     )
 (-0.35404340935898659     ,-9.67230009770858601E-002)
 ( 9.24243664345780758E-002,-0.20963940678769433     )
 ( 0.56191608783270652     ,-7.61266020260364940E-003)
 ( 0.96101989514661312     , 0.61823079669238012     )
 ( 0.80663312284976740     , 0.28803843044402555     )
 ( 0.79501778348721786     , 0.41005081765080575     )
 ( 0.16838147795780145     ,-0.28353759280418700     )
 ( 0.67249472052392179     , 0.50665151875522696     )
 (-0.40941252252665805     , 0.67869552037046077     )
 (-0.68397324176371654     , 5.59579040485616019E-002)
 ( 0.15252619653889354     ,-0.27356011210628850     )
 ( 0.10831759722193368     , 0.85278528209072846     )
 ( 0.11098642657369595     ,-0.46013585976647420     )
 ( 0.93170170360226479     ,-0.76246671800198129     )
 (-0.94892169818084682     ,-0.65362467936331115     )
 (-0.55623218317985135     , 0.26145937826390053     )
 ( 0.99547443475724862     ,-0.53351697239367724     )
 (-0.56975144549355861     , 0.49268696891692088     )
 ( 0.16204313278964122     , 3.49068158556562480E-002)
 (-0.80913350167359255     ,-0.88851340350675656     )
 (-3.65117255754867642E-002,-0.13576319247972179     )
 (-0.65004614629842905     ,-0.86964989752676303     )
 ( 0.95769221032761465     , 0.26193280720797674     )
 ( 2.30901653687709540E-003,-0.89635613674659709     )
 (-0.94259687704667527     ,-0.62857353748785982     )
 ( 0.79185665156742147     , 0.61786626939680644     )
 ( 0.79115412808092600     ,-9.82383340884283029E-002)
 (-0.41282431032662004     , 0.85643377982705005     )
 ( 0.29728553244066092     ,-0.82024204547355595     )
 (-0.80021051450385272     ,-8.28332911972964325E-002)
 ( 0.67810157372351654     ,-0.82870236900300398     )
 ( 0.54921174192306665     ,-0.74407211406902007     )
 (-0.88503383737194241     , 0.96620720179844710     )
 ( 0.39904820449250877     ,-0.80912803184867954     )
 ( 0.64596612120700314     , 0.32151500860248206     )
 (-1.80949434945674170E-002,-0.99182202245857098     )
 ( 0.75908266763561727     , 0.95280711384253181     )
 (-0.66661209538606414     , 0.66665008997016884     )
 ( 0.10404993463335899     , 0.72016009343695231     )
 ( 0.92802773489167834     , 0.83486930704361129     )
 ( 0.94868062712961176     , 0.66588988767107793     )
 (-0.66152025912456480     ,-0.93465109253759948     )
 ( 0.89884102437368796     ,-0.35669223446399911     )
 (-0.66525502219858623     ,-4.92300616952690007E-003)
 ( 0.38889791254867845     ,-0.72899473163119666     )
 (-0.56159911875565882     , 0.86560752712704669     )
 (-0.82022380394190719     , 2.30872154358436887E-002)
 (-9.11676963982941402E-002,-0.69182552652433316     )
 (-0.65180462098638969     ,-8.55770228524264098E-002)
 ( 5.01673683499106460E-002,-0.20516042348402408     )
 ( 0.91163333306163707     , 0.57857875089023736     )
 ( 0.29997961973347032     , 0.59513031360574331     )
 (-0.66746572645426028     ,-0.69318498999331979     )
 ( 0.62975715453276138     ,-0.69633170474742911     )
 ( 0.83067215311140075     ,-0.81342886174463302     )
 (-0.68640183720979309     ,-0.55238277540343717     )
 (-2.21617497810839836E-002,-0.16059898987641219     )
 ( 0.19150807585915430     ,-0.60191895256287609     )
 (-0.14741992036037033     ,-0.97144356833229750     )
 (-0.62201617712592139     , 0.47654459321892517     )
 ( 0.61801538287007673     , 0.82752741710014988     )
 (-0.71878696927488051     ,-0.92924166643604877     )
 (-0.59878263149202127     , 0.98002674313982396     )
 ( 0.26412786785433440     ,-0.31618663264158187     )
 (-0.42824693400658731     , 3.13385961892933551E-002)
 (-0.11832787132457412     , 0.69021988007522594     )
 ( 0.83809313072784875     , 0.88782490669921543     )
 ( 7.99035831530758855E-002,-0.65672038006551503     )
 ( 2.72361944431267489E-002, 0.40788565062717197     )
 (-0.12210092493760527     ,-0.92638211532347015     )
 ( 0.13344139180181713     , 0.81098848969502768     )
 ( 0.83379484268336768     , 0.76910062014371050     )
 (-0.51012348743021363     , 0.10370612019578829     )
 (-0.89238344283044313     ,-0.41380500446087609     )
 ( 0.13070382831116234     , 0.98021410439780965     )
 (-0.61322987343530855     ,-0.40817525984767400     )
 ( 9.40785234152698990E-002, 1.59526914108454321E-003)
 ( 0.67111289742515368     , 0.47761210251393749     )
 (-0.78283667762551801     , 0.16075647301720863     )
 ( 0.38434300124074383     , 0.65477402536293283     )
 (-0.33399515140869340     , 0.68997716657150221     )
 ( 7.29697393304817865E-002, 0.78253851848227640     )
 (-7.55900253975951841E-002, 0.28326419926263924     )
 (-0.21570242237542203     ,-0.61454424361955517     )
 ( 0.26024142946661044     ,-0.47202873753798968     )
 (-8.33919682719184152E-002, 0.48008462896824966     )
 (-5.67412838266037056E-002, 0.63674169957192106     )
 (-0.13100503710391109     ,-0.51107316919775059     )
 (-2.07995397123923453E-002, 0.53393766238860252     )
 (-0.72896292296523058     , 0.22384458813791497     )
 (-0.75132483934434191     ,-0.40248575286711485     )
 (-0.84538577842315732     ,-0.94777770704241249     )
 (-0.77996355614224200     ,-0.87002819588173708     )
 ( 0.47762890906451361     ,-0.17849586068985701     )
 ( 0.49120383620012120     ,-0.20223941817705082     )
 (-0.61688113849275084     , 0.64114683972115216     )
 ( 7.97882604004698237E-002, 0.32950673917940065     )
 ( 6.31777660661541063E-002,-0.23984386189579965     )
 (-0.47766956127046711     ,-0.18313496080833858     )
 ( 0.80617736035107868     ,-0.28708436947409410     )
 (-0.51460235976939117     , 0.75986872253775317     )
 ( 0.57394192460096605     , 0.44065385634905141     )
 ( 0.88214724674863731     ,-9.14713483887865664E-002)
 ( 0.24370374825232233     ,-0.33968177029988311     )
 ( 0.70119193085960063     ,-3.36806864972416520E-002)
 ( 0.54380265988506693     ,-0.59848035512062125     )
 (-0.71137166159955001     , 0.95626617471992148     )
 (-7.68782377306038711E-002,-0.95473299074638618     )
 ( 0.20235654915912704     , 0.74880469098939528     )
 ( 0.45811259822166761     ,-0.31988596665667757     )
 ( 0.62875875139362591     , 0.77960349228367676     )
 ( 0.87889358821168884     ,-0.92822115976174047     )
 (-0.51113999079158390     ,-0.16267961373950612     )
 (-0.52675677285183298     , 0.57595784514693804     )
 ( 0.66269922642592149     , 9.29773526003643269E-002)
 ( 0.71529170550345356     ,-0.90937359919235661     )
 ( 0.25023191645012588     ,-0.98351286372548685     )
 ( 0.80027882892309066     ,-0.55171259433962661     )
 ( 0.61310567472875022     ,-0.15097311042774919     )
 (-0.19117014929995690     , 0.92008292910099243     )
 ( 0.37753181877982200     , 0.86462106076378831     )
 (-0.94025839702212721     ,-0.20288957818923592     )
 ( 2.26600103578320500E-002, 0.37765388157134083     )
 ( 0.55020661528148906     ,-0.99062825092369877     )
 (-0.34521569480595105     , 0.57726886616824657     )
 ( 0.56267024295848245     , 0.74421761118684771     )
 ( 0.72380648785493662     , 0.66191620122270223     )
 ( 0.99905269334842473     , 0.96361939741768055     )
 (-0.45190675737800490     ,-0.10013372045040825     )
 (-0.62818826601810684     , 0.14779265878029690     )
 (-0.52437481409427988     ,-0.72849359076924003     )
 (-0.65178970515464840     ,-0.30870132035807529     )
 (-0.65341445843424850     , 0.99886541561095754     )
 ( 0.14512363573239639     ,-4.85494205112289023E-002)
 ( 0.78371177761865596     , 0.90425494537355888     )
 ( 0.86771073993624981     , 0.42733548352929773     )
 ( 0.99527234117416441     ,-0.84463572005297038     )
 (-0.83777838297724117     ,-1.42779354943129988E-002)
 (-0.37012977194994079     , 0.16578486978999507     )
 ( 0.52205375015753219     ,-0.87275932199646178     )
 (-0.70414699562471839     ,-0.53004088835036356     )
 (-0.41715549255477669     ,-0.69281111027829212     )
 ( 0.29936255960020475     ,-0.85286739231498387     )
 ( 0.22782945197334215     ,-0.78018407441391702     )
 ( 0.73742481369239243     , 0.32222776839380884     )
 (-0.11515336826264644     , 0.27766296426295156     )
 ( 0.20439732590553916     ,-0.46016334942220993     )
 (-0.25783839164180478     ,-0.55183026345049058     )
 (-0.94500124163133847     ,-0.86706014287069166     )
 (-0.42233530751227732     ,-4.70109027090828135E-002)
 ( 0.56347593485198644     ,-0.54231633278215696     )
 ( 0.44588809403196450     , 0.52096759289519667     )
 ( 0.69965930342535643     , 3.17768135026241794E-002)
 (-0.31435603319355465     ,-3.17609388108692769E-002)
 (-0.99284653866565264     ,-0.18601102270583425     )
 (-0.19116787002779034     , 0.53802747028020548     )
 ( 0.74014353127866883     , 0.33803263313443921     )
 (-0.85595391741444615     ,-2.67479707384907783E-002)
 ( 0.64170809038679266     ,-0.96702415893771132     )
 (-0.90204470717115015     , 0.64655958601837682     )
 (-0.69844745345987036     ,-0.68354654212243560     )
 ( 0.14899813997421774     , 0.78966396606744382     )
 (-0.18684916869055002     , 5.35055180143260145E-002)
 (-8.73791851338197034E-002,-0.87346329871935069     )
 ( 0.48284553462561774     , 0.47506172018034221     )
 (-0.34891955630619265     ,-0.17224395148139848     )
 ( 0.77494464341608449     , 1.30975477169883447E-002)
 ( 0.40463319005723264     , 9.58688056195953209E-002)
 (-0.21929563520203743     ,-0.27350195131948141     )
 ( 0.58068761181780104     , 0.91863969586244565     )
 (-0.32626038597212670     , 0.67986720594256411     )
 (-0.43584239804452096     , 0.26824351194317586     )
 ( 0.38329412826814035     , 3.91016381545838954E-002)
 (-0.95826467335846388     ,-0.41551671332252482     )
 ( 0.72836832933827367     , 0.62969458921786980     )
 (-0.27393981103111997     ,-0.31131900993728578     )
 (-0.71661749801993579     , 0.75863728694758237     )
 ( 0.60872249326680361     , 0.88667314100518269     )
 ( 0.18828307877398487     , 0.34562728091616890     )
 (-0.52535233733872388     , 0.11403976694008833     )
 ( 0.99621832870396787     , 0.58626480500839051     )
 ( 1.05960715262867211E-002, 0.35898884574373113     )
 ( 0.61855403347700388     , 0.84620605201705956     )
 (-0.60177770529387686     ,-0.30210277824085807     )
 (-0.24649269593661671     ,-0.74696600434453586     )
 (-0.11669665312715694     ,-0.84993949857165063     )
 (-0.73051496046722519     ,-0.87090945034066891     )
 (-0.33169421188242865     , 0.88141610394631442     )
 ( 0.38076016112071187     , 0.23587591419805420     )
 (-7.86460941413693604E-002, 0.36656296852344639     )
 (-0.25015883343056800     ,-0.35395057338821090     )
 (-0.80817695161611169     ,-0.11600409773451048     )
 (-0.34877375685361045     ,-0.58525139346210864     )
 (-0.34284891817092245     , 0.72578969135144433     )
 (-6.63803476468629583E-002, 0.20506686478704950     )
 (-0.89202562987177458     , 0.92969539311206262     )
 (-0.25443714480335444     , 0.37528303087633930     )
 ( 0.24529013645669551     ,-6.56382221666973464E-003)
 ( 0.99123338400450933     ,-0.87499505407669886     )
 ( 0.67496205492172834     , 0.33760019613122694     )
 (-0.46767171487514503     , 0.11596236565201679     )
 (-0.97254205726026299     , 0.29961071281592666     )
 ( 0.64691355646115056     , 0.14794882255903730     )
 (-0.88482502412600894     , 0.84649666528547840     )
 (-0.27967611534851500     ,-0.77644459316611147     )
 (-0.69799356490930364     , 0.29327738416088067     )
 ( 0.22507564881126285     , 0.54404914242575586     )
 ( 0.76087210462585375     ,-0.96359905650366073     )
 ( 0.51974810111763503     , 0.13521225769482470     )
 ( 0.62070959213965438     ,-0.78747600202962786     )
 (-0.24066964087663933     , 2.33636793836282664E-002)
 ( 0.86584351636954437     , 0.45167950898530052     )
 (-0.71493714945282960     ,-8.96819858093707012E-002)
 ( 8.36512178774668769E-002,-0.68476503717545967     )
 ( 0.39875863839707648     ,-0.50111237597486280     )
 (-0.27803511147883597     , 2.26850414389829780E-002)
 ( 0.69841012264244995     ,-1.01123509304628101E-002)
 ( 0.50162828676379689     ,-0.26806327989437051     )
 ( 0.55700746426006020     ,-0.57535051292831696     )
 (-0.75700099132948395     ,-0.37498106387648278     )
 (-0.61164579166135269     , 0.72597279783717994     )
 ( 0.94389211842499066     , 0.66977079888385305     )
 (-0.28929950496402768     ,-0.63756293131184094     )
 ( 0.95143530743327887     , 0.10771929407314218     )
 ( 0.46466244054166594     ,-0.98176135029797962     )
 (-0.91251285243320268     , 1.37370734399766548E-002)
 (-0.53540475519142916     ,-0.38959455315950464     )
 (-0.67240406816947740     ,-0.13613928352197746     )
 (-0.71422516132535208     ,-0.80044335337374406     )
 ( 0.93288455472693244     , 0.73853730154961994     )
 (-0.53814407989310808     , 0.15650643782117157     )
 (-0.24632562517943057     , 9.23973139628486706E-003)
 (-0.13844945234192352     , 0.36714619360719070     )
 (-0.15095447650751481     ,-0.83846347834572299     )
 (-7.12514411634757039E-002,-0.10063351793230169     )
 (-0.19118982339180235     ,-0.52299281908472750     )
 (-0.37018353805152771     ,-0.33951391668592379     )
 (-0.44051361019283064     , 0.93454738704405571     )
 (-0.89599738791802253     , 8.92740839906736028E-003)
 ( 0.44474071335618959     ,-0.17170360311298083     )
 ( 0.93118092526068352     , 0.54190383820542110     )
 ( 0.57935544899341807     ,-0.21066998482286436     )
 ( 0.51402060940514360     ,-0.52114797020482939     )
 (-0.40499141107577685     ,-0.67891650663705860     )
 ( 0.34251289659876960     ,-5.95613267482306696E-002)
 ( 0.76196868611432222     ,-0.58111256973905512     )
 ( 1.60550482648531556E-002, 0.35238402384418777     )
 (-0.95585935473989281     , 0.77170360385274961     )
 ( 0.11542447322047877     , 0.17426128238894734     )
 ( 1.16891953004127913E-002,-0.50617582277994444     )
 (-0.25759085181747565     , 0.78303905098294280     )
 (-9.33478929316393646E-002,-1.43656084674219642E-002)
 (-0.69796783883968061     , 0.87162115182677979     )
 ( 0.86847255366628673     , 0.68022318517579805     )
 (-0.46034438972109371     , 2.11915636552291176E-002)
 ( 0.83916687638113530     ,-0.97365433947266666     )
 (-0.26379021606377506     , 0.66497960333827422     )
 ( 0.56783791544207673     , 0.64268345856259401     )
 ( 0.20780502280691593     , 0.59730925951310354     )
 ( 0.13238249265648250     ,-0.66679860360773802     )
 (-0.12551657993518717     , 0.23767427065427427     )
 ( 0.32846209194476472     ,-0.61665132599399186     )
 ( 0.80529305330556866     ,-0.59772536821385103     )
 ( 0.10304577402896342     ,-0.30841193608126360     )
 (-0.41334373998976304     ,-0.64285178791141817     )
 ( 1.80313830143390419E-002,-0.11505573891248133     )
 ( 0.49659306800000280     ,-0.95507943005629414     )
 (-0.27045734466239679     ,-0.69936950961074018     )
 (-0.67781122680836603     , 0.83346436251854783     )
 ( 0.99642342553979546     , 0.89302804512100664     )
 (-0.11980168092740229     ,-0.20340553622492763     )
 (-0.75185676144381119     , 0.67604416240668996     )
 (-0.33570292432583670     ,-0.10348647215386819     )
 ( 0.83372882469998189     , 0.78984703006596391     )
 (-0.55434465956981427     , 0.61225276401267337     )
 ( 0.45038057125091058     , 0.86786026442268138     )
 ( 0.11966988916864096     , 0.29001162506443023     )
 ( 0.74905983354428685     , 0.87938039970241988     )
 (-0.23073230740764217     ,-0.85272454737680192     )
 ( 0.69547916869034765     , 0.46494728709034661     )
 (-0.92235801803523287     , 0.43506937105467358     )
 ( 1.45308465381717156E-002,-0.97966368480741295     )
 (-0.73097330267413696     ,-0.63112262410829345     )
 (-0.82481320476720299     , 0.10044053356613603     )
 ( 0.20859948242294735     , 0.32080512323869215     )
 (-0.78276702730145331     , 0.41105758715422525     )
 ( 0.80026330265010159     ,-0.70931910657629516     )
 ( 0.74180052061594637     ,-0.33562164811406348     )
 ( 0.15732995564970764     , 0.33415907521185062     )
 ( 0.17046245394399051     ,-0.55252119962927537     )
 ( 8.44527188387118599E-002, 0.53870179619018899     )
 (-0.36638443322610925     , 0.17203142154038886     )
 ( 0.22296763398170327     ,-0.95424548951854860     )
 ( 0.41390019428481395     , 0.94246496926290746     )
 ( 0.92454096604225100     ,-0.11331205325934235     )
 ( 0.70546296080649284     , 0.22859892237442381     )
 ( 0.80312169190332128     , 2.33393174356066879E-002)
 ( 0.64087716547796703     , 0.61204930224754861     )
 ( 0.37109997415696938     , 0.57843759470909362     )
 (-0.70456049027391288     , 0.27313291393601702     )
 (-0.28428704397712323     , 4.90284686675792614E-002)
 ( 3.92979547717899891E-002,-0.39872484689238519     )
 (-0.53544462443532126     , 0.18441182073791396     )
 ( 0.63237111260652767     , 0.27673975339916268     )
 ( 9.79819407324029612E-002, 0.67125566778059209     )
 (-0.56876777963439196     ,-6.04652625007773281E-002)
 (-0.11033136863128590     ,-8.03569380551110157E-002)
 (-0.28801207424042019     , 0.31229488018606588     )
 ( 0.41806860017603498     ,-0.17297013320189336     )
 (-0.75537867979083018     ,-0.81751530727968458     )
 (-0.16060736824901056     ,-0.22037082794197005     )
 ( 0.84322739656365542     , 0.40509479541355375     )
 ( 0.22050168715198737     , 0.32477985730456993     )
 ( 0.74898487976692962     ,-0.88519394113394156     )
 (-0.40384258892485292     , 0.53058996934344549     )
 ( 0.58951868156989207     , 0.31605756428870535     )
 ( 0.56287310957312542     ,-0.71724236155836962     )
 ( 0.63544956437217337     ,-0.74473624050404652     )
 ( 0.79958011836080090     ,-0.47984927454883319     )
 ( 0.60333946451057585     ,-0.59872933042129972     )
 (-0.31308982488886983     ,-0.82734123511517765     )
 ( 0.91985982179598835     ,-0.97729184006232828     )
 (-0.91946911624612682     , 0.45420454830394164     )
 (-0.12422631016509200     ,-0.56612745572011391     )
 ( 0.30309611464925723     , 0.92280537792571948     )
 ( 0.29616786065607670     , 0.78884878135260550     )
 (-0.29757627838197465     ,-0.28460688784600308     )
 (-0.80376377260288479     ,-0.73355838838893561     )
 ( 0.95392677516868929     , 0.58992512278455678     )
 (-0.53426236970958740     ,-0.33918225131186119     )
 ( 6.15391108721823343E-002,-0.52166731206722972     )
 ( 0.14096798392190379     ,-0.54574583954400424     )
 ( 0.25682887269348242     ,-0.58675334472167862     )
 (-0.38336493227925672     , 0.70372805064163657     )
 (-0.64087760680084926     , 0.80639992701861019     )
 ( 0.68234247687225746     ,-0.54804011561987664     )
 (-0.58629730408089387     , 0.61931994096931220     )
 ( 0.12541437733093375     , 0.43061918976115265     )
 ( 0.46893962975033077     , 9.45793515474449009E-002)
 (-0.46553761365542101     ,-0.26158858765348469     )
 (-0.79001034885042287     ,-0.84934295008083183     )
 ( 0.70234760888515524     , 0.75437030080785661     )
 (-1.50899430284781033E-002,-0.34743799560857980     )
 (-0.37603789938382448     , 0.21657165925602584     )
 ( 0.81210253916818687     , 0.54597665017336539     )
 ( 0.59948229951091747     , 0.21334831550517919     )
 (-0.35562821782517773     ,-9.80277880694941928E-002)
 (-0.40163022902991230     , 0.47761032443667517     )
 (-0.99200604533317716     , 0.50452290310118286     )
 (-0.85065055472805540     ,-0.85025374820032340     )
 (-0.21652514051837812     , 0.59128691274207057     )
 (-0.94218010857773749     ,-0.98951163379275187     )
 ( 0.12157569885888364     ,-0.77838303628386285     )
